ISim log file
Running: F:\WorkSpace\ISE_workspace\CPU\level5\Test_CPU_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb F:/WorkSpace/ISE_workspace/CPU/level5/Test_CPU_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 2ms
Simulator is doing circuit initialization process.
Finished circuit initialization process.
pc:     id_ir      :reg_A:reg_B:ALUo :reg_C:da:dd  :w:reC1:gr1 :gp:gr2 :gr3 :gr4 :ddin:zf:nf:cf:beq:md4
00:xxxxxxxxxxxxxxxx:xxxx :xxxx :xxxx :xxxx :xx:xxxx:x:xxxx:xxxx:xx:xxxx:xxxx:xxxx:xxxx: x: x: x :00 :c369
00:0000000000000000:0000 :0000 :0000 :0000 :00:0000:0:0000:0000:00:0000:0000:0000:fffd: 0: 0: 0 :00 :c369
01:0100111100010000:0000 :0000 :0000 :0000 :00:0000:0:0000:0000:00:0000:0000:0000:fffd: 0: 0: 0 :00 :c369
02:1000000110110110:0000 :0010 :0010 :0000 :00:0000:0:0000:0000:00:0000:0000:0000:fffd: 0: 0: 0 :00 :c369
03:0001100101110000:0000 :b600 :b600 :0010 :10:0000:0:0000:0000:10:0000:0000:0000:xxxx: 0: 1: 0 :00 :c369
04:0001000100000000:0010 :0000 :0010 :b600 :00:0000:0:0010:0000:00:0000:0000:0000:fffd: 0: 0: 0 :00 :c369
05:0001001000000001:0000 :0000 :0000 :0010 :10:b600:1:b600:0000:10:0000:0000:0000:xxxx: 1: 0: 0 :00 :c369
05:xxxxxxxxxxxxxxxx:0000 :0001 :0001 :0000 :00:b600:0:0010:b600:00:0000:0000:0000:fffd: 0: 0: 0 :00 :c369
06:1000101100010010:0000 :0001 :0001 :0001 :01:b600:0:fffd:b600:01:0000:0000:0000:0004: 0: 0: 0 :00 :c369
07:0001101101110001:fffd :0004 :0001 :0001 :01:b600:0:0004:fffd:01:0000:0000:0000:0004: 0: 0: 1 :00 :c369
08:1000101100000010:0010 :0001 :0011 :0001 :01:b600:0:0001:fffd:01:0004:0000:0000:0004: 0: 0: 1 :00 :c369
09:0001101101110010:0000 :0004 :0005 :0011 :11:0001:1:0001:fffd:11:0004:0000:0000:xxxx: 0: 0: 0 :00 :c369
0a:0001000100000010:0010 :0002 :0012 :0005 :05:0001:0:0011:fffd:05:0004:0001:0000:0041: 0: 0: 0 :00 :c369
0a:xxxxxxxxxxxxxxxx:0000 :0002 :0002 :0012 :12:0005:1:0005:fffd:12:0004:0001:0000:xxxx: 0: 0: 0 :00 :c369
0b:1001001100010010:0000 :0002 :0002 :0002 :02:0005:0:0012:fffd:02:0004:0005:0000:0005: 0: 0: 0 :00 :c369
0c:0001101101110011:0005 :0004 :0001 :0002 :02:0005:0:0005:fffd:02:0004:0005:0000:0005: 0: 0: 0 :00 :c369
0d:0101001100100001:0010 :0003 :0013 :0001 :01:0005:0:0002:0005:01:0004:0005:0000:0004: 0: 0: 0 :00 :c369
0e:0001101101110100:0004 :0005 :ffff :0013 :13:0001:1:0001:0005:13:0004:0005:0000:xxxx: 0: 1: 1 :00 :c369
0f:1001001100100001:0010 :0004 :0014 :ffff :ff:0001:0:0013:0005:ff:0004:0001:0000:xxxx: 0: 0: 1 :00 :c369
10:0001101101110101:0004 :0005 :fffe :0014 :14:ffff:1:ffff:0005:14:0004:0001:0000:xxxx: 0: 1: 1 :00 :c369
11:0001000100000011:0010 :0005 :0015 :fffe :fe:ffff:0:0014:0005:fe:0004:ffff:0000:xxxx: 0: 0: 1 :00 :c369
12:0001001000000100:0000 :0003 :0003 :0015 :15:fffe:1:fffe:0005:15:0004:ffff:0000:xxxx: 0: 0: 1 :00 :c369
12:xxxxxxxxxxxxxxxx:0000 :0004 :0004 :0003 :03:fffe:0:0015:0005:03:0004:fffe:0000:c369: 0: 0: 1 :00 :c369
13:0110101100010010:0000 :0004 :0004 :0004 :04:fffe:0:c369:0005:04:0004:fffe:0000:69c3: 0: 0: 1 :00 :c369
14:0001101101110110:c369 :69c3 :4141 :0004 :04:fffe:0:69c3:c369:04:0004:fffe:0000:69c3: 0: 0: 1 :00 :c369
15:0111001100010010:0010 :0006 :0016 :4141 :41:fffe:0:0004:c369:41:69c3:fffe:0000:xxxx: 0: 0: 1 :00 :c369
16:0001101101110111:c369 :69c3 :ebeb :0016 :16:4141:1:4141:c369:16:69c3:fffe:0000:xxxx: 0: 1: 1 :00 :c369
17:0111101100010010:0010 :0007 :0017 :ebeb :eb:4141:0:0016:c369:eb:69c3:4141:0000:xxxx: 0: 0: 1 :00 :c369
18:0001101101111000:c369 :69c3 :aaaa :0017 :17:ebeb:1:ebeb:c369:17:69c3:4141:0000:xxxx: 0: 1: 1 :00 :c369
19:0010001100010000:0010 :0008 :0018 :aaaa :aa:ebeb:0:0017:c369:aa:69c3:ebeb:0000:xxxx: 0: 0: 1 :00 :c369
1a:0001101101111001:c369 :0000 :c369 :0018 :18:aaaa:1:aaaa:c369:18:69c3:ebeb:0000:xxxx: 0: 1: 1 :00 :c369
1b:0010001100010001:0010 :0009 :0019 :c369 :69:aaaa:0:0018:c369:69:69c3:aaaa:0000:xxxx: 0: 0: 1 :00 :c369
1c:0001101101111010:c369 :0001 :86d2 :0019 :19:c369:1:c369:c369:19:69c3:aaaa:0000:xxxx: 0: 1: 1 :00 :c369
1d:0010001100010100:0010 :000a :001a :86d2 :d2:c369:0:0019:c369:d2:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
1e:0001101101111011:c369 :0004 :3690 :001a :1a:86d2:1:86d2:c369:1a:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
1f:0010001100011111:0010 :000b :001b :3690 :90:86d2:0:001a:c369:90:69c3:86d2:0000:xxxx: 0: 0: 1 :00 :c369
20:0001101101111100:c369 :000f :8000 :001b :1b:3690:1:3690:c369:1b:69c3:86d2:0000:xxxx: 0: 1: 1 :00 :c369
21:0011001100010000:0010 :000c :001c :8000 :00:3690:0:001b:c369:00:69c3:3690:0000:fffd: 0: 0: 1 :00 :c369
22:0001101101111101:c369 :0000 :c369 :001c :1c:8000:1:8000:c369:1c:69c3:3690:0000:xxxx: 0: 1: 1 :00 :c369
23:0011001100010001:0010 :000d :001d :c369 :69:8000:0:001c:c369:69:69c3:8000:0000:xxxx: 0: 0: 1 :00 :c369
24:0001101101111110:c369 :0001 :61b4 :001d :1d:c369:1:c369:c369:1d:69c3:8000:0000:xxxx: 0: 0: 1 :00 :c369
25:0011001100011000:0010 :000e :001e :61b4 :b4:c369:0:001d:c369:b4:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
26:0001101101111111:c369 :0008 :00c3 :001e :1e:61b4:1:61b4:c369:1e:69c3:c369:0000:xxxx: 0: 0: 1 :00 :c369
27:0011001100011111:0010 :000f :001f :00c3 :c3:61b4:0:001e:c369:c3:69c3:61b4:0000:xxxx: 0: 0: 1 :00 :c369
